Commodity,Component,Supplier,Cost,SupplierPerformanceRating,ComponentPerformanceRating
Screen,60001,Samsung ,1007,4,8
Screen,60002,Intel,636,1,7
Screen,60003,Western Digital ,122,4,8
Screen,60004,"3 Round Stones, Inc.",37,5,4
Screen,60005,48 Factoring Inc.,627,2,3
Screen,60006,5PSolutions,1076,7,1
Screen,60007,Abt Associates,446,6,6
Screen,60008,Accela,720,2,3
Screen,60009,Accenture,593,8,2
Screen,60010,AccuWeather,1039,8,6
Screen,60011,Acxiom,790,3,1
Screen,60012,Adaptive,76,7,4
Screen,60013,Adobe Digital Government,553,9,2
Screen,60014,Aidin,362,4,9
Screen,60015,Alarm.com,869,8,2
Screen,60016,Allianz,68,3,4
Screen,60017,Allied Van Lines,897,7,7
Screen,60018,AllState Insurance Group,493,5,9
Screen,60019,Alltuition,126,4,2
Screen,60020,Altova,1064,1,7
Screen,60021,Amazon Web Services,1032,9,4
Screen,60022,American Red Ball Movers,644,1,9
Screen,60023,Amida Technology Solutions,369,8,9
Screen,60024,Analytica,895,1,8
Screen,60025,Apextech LLC,910,1,5
Screen,60026,Appallicious,314,2,9
Screen,60027,Aquicore,1053,3,9
Screen,60028,Archimedes Inc.,986,1,5
Screen,60029,AreaVibes Inc.,994,1,9
Screen,60030,Arpin Van Lines,138,8,3
Screen,60031,Arrive Labs,308,7,8
Screen,60032,ASC Partners,931,6,2
Screen,60033,Asset4,194,7,8
Screen,60034,Atlas Van Lines,387,9,9
Screen,60035,AtSite,266,7,2
Screen,60036,"Aunt Bertha, Inc.",103,9,7
Screen,60037,Aureus Sciences (*Now part of Elsevier),780,8,3
Screen,60038,AutoGrid Systems,122,1,5
Screen,60039,Avalara,896,1,8
Screen,60040,Avvo,761,9,4
Screen,60041,Ayasdi,578,5,3
Screen,60042,Azavea,267,8,4
Screen,60043,BaleFire Global,697,1,6
Screen,60044,Barchart,955,9,6
Screen,60045,Be Informed,1025,7,8
Screen,60046,Bekins,576,4,9
Screen,60047,Berkery Noyes MandASoft,229,8,6
Screen,60048,Berkshire Hathaway,55,8,3
Screen,60049,BetterLesson,361,8,1
Screen,60050,BillGuard,736,4,1
Screen,60051,Bing,699,9,5
Screen,60052,Biovia,677,5,5
Screen,60053,BizVizz,29,8,4
Screen,60054,BlackRock,270,6,7
Screen,60055,Bloomberg,622,4,1
Screen,60056,Booz Allen Hamilton,280,5,9
Screen,60057,Boston Consulting Group,73,4,6
Screen,60058,Boundless,146,8,4
Screen,60059,Bridgewater,453,6,7
Screen,60060,Brightscope,526,3,5
Screen,60061,BuildFax,290,4,2
Screen,60062,Buildingeye,531,5,3
Screen,60063,BuildZoom,523,9,2
Screen,60064,Business and Legal Resources,504,7,2
Screen,60065,Business Monitor International,759,6,1
Screen,60066,"Calcbench, Inc.",909,2,5
Screen,60067,Cambridge Information Group,25,4,8
Screen,60068,Cambridge Semantics,846,8,4
Screen,60069,CAN Capital,979,3,1
Screen,60070,Canon,204,5,8
Screen,60071,Capital Cube,144,3,4
Screen,60072,Cappex,187,1,5
Screen,60073,Captricity,1042,6,3
Screen,60074,CareSet Systems,230,8,2
Screen,60075,Careset.com,310,7,4
Screen,60076,CARFAX,618,9,1
Screen,60077,Caspio,281,6,3
